algorithm,iteration,verification_time_us,steps,repeat
verify_dilithium,1,146,1,1
verify_dilithium,2,107,1,1
verify_dilithium,3,109,1,1
verify_dilithium,4,112,1,1
verify_dilithium,5,110,1,1
verify_dilithium,6,109,1,1
verify_dilithium,7,112,1,1
verify_dilithium,8,114,1,1
verify_dilithium,9,116,1,1
verify_dilithium,10,109,1,1
verify_dilithium,11,110,1,1
verify_dilithium,12,110,1,1
verify_dilithium,13,108,1,1
verify_dilithium,14,108,1,1
verify_dilithium,15,109,1,1
verify_dilithium,16,110,1,1
verify_dilithium,17,114,1,1
verify_dilithium,18,114,1,1
verify_dilithium,19,110,1,1
verify_dilithium,20,116,1,1
verify_dilithium,21,110,1,1
verify_dilithium,22,109,1,1
verify_dilithium,23,108,1,1
verify_dilithium,24,108,1,1
verify_dilithium,25,109,1,1
verify_dilithium,26,111,1,1
verify_dilithium,27,110,1,1
verify_dilithium,28,111,1,1
verify_dilithium,29,113,1,1
verify_dilithium,30,109,1,1
verify_dilithium,31,114,1,1
verify_dilithium,32,109,1,1
verify_dilithium,33,113,1,1
verify_dilithium,34,111,1,1
verify_dilithium,35,109,1,1
verify_dilithium,36,110,1,1
verify_dilithium,37,122,1,1
verify_dilithium,38,114,1,1
verify_dilithium,39,108,1,1
verify_dilithium,40,109,1,1
verify_dilithium,41,115,1,1
verify_dilithium,42,111,1,1
verify_dilithium,43,110,1,1
verify_dilithium,44,112,1,1
verify_dilithium,45,109,1,1
verify_dilithium,46,112,1,1
verify_dilithium,47,113,1,1
verify_dilithium,48,114,1,1
verify_dilithium,49,120,1,1
verify_dilithium,50,112,1,1
verify_dilithium,51,115,1,1
verify_dilithium,52,113,1,1
verify_dilithium,53,112,1,1
verify_dilithium,54,109,1,1
verify_dilithium,55,110,1,1
verify_dilithium,56,112,1,1
verify_dilithium,57,109,1,1
verify_dilithium,58,110,1,1
verify_dilithium,59,113,1,1
verify_dilithium,60,117,1,1
verify_dilithium,61,111,1,1
verify_dilithium,62,108,1,1
verify_dilithium,63,109,1,1
verify_dilithium,64,114,1,1
verify_dilithium,65,120,1,1
verify_dilithium,66,123,1,1
verify_dilithium,67,108,1,1
verify_dilithium,68,109,1,1
verify_dilithium,69,108,1,1
verify_dilithium,70,114,1,1
verify_dilithium,71,111,1,1
verify_dilithium,72,115,1,1
verify_dilithium,73,110,1,1
verify_dilithium,74,108,1,1
verify_dilithium,75,111,1,1
verify_dilithium,76,111,1,1
verify_dilithium,77,125,1,1
verify_dilithium,78,110,1,1
verify_dilithium,79,113,1,1
verify_dilithium,80,109,1,1
verify_dilithium,81,114,1,1
verify_dilithium,82,110,1,1
verify_dilithium,83,110,1,1
verify_dilithium,84,111,1,1
verify_dilithium,85,113,1,1
verify_dilithium,86,114,1,1
verify_dilithium,87,108,1,1
verify_dilithium,88,109,1,1
verify_dilithium,89,108,1,1
verify_dilithium,90,109,1,1
verify_dilithium,91,116,1,1
verify_dilithium,92,109,1,1
verify_dilithium,93,115,1,1
verify_dilithium,94,111,1,1
verify_dilithium,95,111,1,1
verify_dilithium,96,116,1,1
verify_dilithium,97,112,1,1
verify_dilithium,98,112,1,1
verify_dilithium,99,110,1,1
verify_dilithium,100,109,1,1
verify_dilithium,101,109,1,1
verify_dilithium,102,108,1,1
verify_dilithium,103,112,1,1
verify_dilithium,104,112,1,1
verify_dilithium,105,108,1,1
verify_dilithium,106,113,1,1
verify_dilithium,107,108,1,1
verify_dilithium,108,113,1,1
verify_dilithium,109,116,1,1
verify_dilithium,110,109,1,1
verify_dilithium,111,109,1,1
verify_dilithium,112,116,1,1
