algorithm,iteration,verification_time_us,steps,repeat
verify_dilithium,1,325,1,1
verify_dilithium,2,323,1,1
verify_dilithium,3,353,1,1
verify_dilithium,4,338,1,1
verify_dilithium,5,335,1,1
verify_dilithium,6,322,1,1
verify_dilithium,7,328,1,1
verify_dilithium,8,329,1,1
verify_dilithium,9,340,1,1
verify_dilithium,10,323,1,1
verify_dilithium,11,331,1,1
verify_dilithium,12,329,1,1
verify_dilithium,13,326,1,1
verify_dilithium,14,330,1,1
verify_dilithium,15,329,1,1
verify_dilithium,16,333,1,1
verify_dilithium,17,330,1,1
verify_dilithium,18,333,1,1
verify_dilithium,19,341,1,1
verify_dilithium,20,334,1,1
verify_dilithium,21,322,1,1
verify_dilithium,22,324,1,1
verify_dilithium,23,351,1,1
verify_dilithium,24,330,1,1
verify_dilithium,25,325,1,1
verify_dilithium,26,325,1,1
verify_dilithium,27,348,1,1
verify_dilithium,28,335,1,1
verify_dilithium,29,338,1,1
verify_dilithium,30,343,1,1
verify_dilithium,31,327,1,1
verify_dilithium,32,329,1,1
verify_dilithium,33,329,1,1
verify_dilithium,34,343,1,1
verify_dilithium,35,333,1,1
verify_dilithium,36,324,1,1
verify_dilithium,37,337,1,1
verify_dilithium,38,327,1,1
verify_dilithium,39,331,1,1
verify_dilithium,40,348,1,1
verify_dilithium,41,325,1,1
verify_dilithium,42,333,1,1
verify_dilithium,43,348,1,1
verify_dilithium,44,323,1,1
verify_dilithium,45,336,1,1
verify_dilithium,46,342,1,1
verify_dilithium,47,341,1,1
verify_dilithium,48,325,1,1
verify_dilithium,49,324,1,1
verify_dilithium,50,323,1,1
verify_dilithium,51,329,1,1
verify_dilithium,52,345,1,1
verify_dilithium,53,337,1,1
verify_dilithium,54,346,1,1
verify_dilithium,55,324,1,1
verify_dilithium,56,328,1,1
verify_dilithium,57,329,1,1
verify_dilithium,58,346,1,1
verify_dilithium,59,342,1,1
verify_dilithium,60,352,1,1
verify_dilithium,61,362,1,1
verify_dilithium,62,324,1,1
verify_dilithium,63,325,1,1
verify_dilithium,64,336,1,1
verify_dilithium,65,331,1,1
verify_dilithium,66,335,1,1
verify_dilithium,67,329,1,1
verify_dilithium,68,335,1,1
verify_dilithium,69,351,1,1
verify_dilithium,70,388,1,1
verify_dilithium,71,326,1,1
verify_dilithium,72,324,1,1
verify_dilithium,73,335,1,1
verify_dilithium,74,321,1,1
verify_dilithium,75,341,1,1
verify_dilithium,76,330,1,1
verify_dilithium,77,328,1,1
verify_dilithium,78,331,1,1
verify_dilithium,79,340,1,1
verify_dilithium,80,326,1,1
verify_dilithium,81,327,1,1
verify_dilithium,82,336,1,1
verify_dilithium,83,337,1,1
verify_dilithium,84,328,1,1
verify_dilithium,85,354,1,1
verify_dilithium,86,494,1,1
verify_dilithium,87,325,1,1
verify_dilithium,88,325,1,1
verify_dilithium,89,345,1,1
verify_dilithium,90,338,1,1
verify_dilithium,91,336,1,1
verify_dilithium,92,328,1,1
verify_dilithium,93,467,1,1
verify_dilithium,94,340,1,1
verify_dilithium,95,338,1,1
verify_dilithium,96,338,1,1
verify_dilithium,97,342,1,1
verify_dilithium,98,335,1,1
verify_dilithium,99,326,1,1
verify_dilithium,100,355,1,1
verify_dilithium,101,328,1,1
verify_dilithium,102,334,1,1
verify_dilithium,103,337,1,1
verify_dilithium,104,353,1,1
