algorithm,iteration,verification_time_us,steps,repeat
verify_sr25519,199,28,1,1
verify_sr25519,200,28,1,1
verify_sr25519,201,30,1,1
verify_sr25519,202,29,1,1
verify_sr25519,203,30,1,1
verify_sr25519,204,28,1,1
verify_sr25519,205,29,1,1
verify_sr25519,206,29,1,1
verify_sr25519,207,29,1,1
verify_sr25519,208,29,1,1
verify_sr25519,209,29,1,1
verify_sr25519,210,29,1,1
verify_sr25519,211,28,1,1
verify_sr25519,212,28,1,1
verify_sr25519,213,28,1,1
verify_sr25519,214,31,1,1
verify_sr25519,215,28,1,1
verify_sr25519,216,30,1,1
verify_sr25519,217,30,1,1
verify_sr25519,218,29,1,1
verify_sr25519,219,28,1,1
verify_sr25519,220,29,1,1
verify_sr25519,221,30,1,1
verify_sr25519,222,28,1,1
verify_sr25519,223,29,1,1
verify_sr25519,224,29,1,1
verify_sr25519,225,28,1,1
verify_sr25519,226,28,1,1
verify_sr25519,227,34,1,1
verify_sr25519,228,29,1,1
verify_sr25519,229,29,1,1
verify_sr25519,230,28,1,1
verify_sr25519,231,28,1,1
verify_sr25519,232,28,1,1
verify_sr25519,233,29,1,1
verify_sr25519,234,30,1,1
verify_sr25519,235,29,1,1
verify_sr25519,236,28,1,1
verify_sr25519,237,28,1,1
verify_sr25519,238,29,1,1
verify_sr25519,239,28,1,1
verify_sr25519,240,31,1,1
verify_sr25519,241,29,1,1
verify_sr25519,242,28,1,1
verify_sr25519,243,29,1,1
verify_sr25519,244,29,1,1
verify_sr25519,245,28,1,1
verify_sr25519,246,30,1,1
verify_sr25519,247,29,1,1
verify_sr25519,248,29,1,1
verify_sr25519,249,29,1,1
verify_sr25519,250,30,1,1
verify_sr25519,251,30,1,1
verify_sr25519,252,29,1,1
verify_sr25519,253,29,1,1
verify_sr25519,254,28,1,1
verify_sr25519,255,30,1,1
verify_sr25519,256,28,1,1
verify_sr25519,257,30,1,1
verify_sr25519,258,29,1,1
verify_sr25519,259,29,1,1
verify_sr25519,260,28,1,1
verify_sr25519,261,29,1,1
verify_sr25519,262,29,1,1
verify_sr25519,263,30,1,1
verify_sr25519,264,28,1,1
verify_sr25519,265,30,1,1
verify_sr25519,266,28,1,1
verify_sr25519,267,28,1,1
verify_sr25519,268,29,1,1
verify_sr25519,269,29,1,1
verify_sr25519,270,29,1,1
verify_sr25519,271,29,1,1
verify_sr25519,272,30,1,1
verify_sr25519,273,29,1,1
verify_sr25519,274,28,1,1
verify_sr25519,275,29,1,1
verify_sr25519,276,28,1,1
verify_sr25519,277,31,1,1
verify_sr25519,278,28,1,1
verify_sr25519,279,28,1,1
verify_sr25519,280,29,1,1
verify_sr25519,281,29,1,1
verify_sr25519,282,31,1,1
verify_sr25519,283,29,1,1
verify_sr25519,284,28,1,1
verify_sr25519,285,29,1,1
verify_sr25519,286,29,1,1
verify_sr25519,287,28,1,1
verify_sr25519,288,29,1,1
verify_sr25519,289,29,1,1
verify_sr25519,290,30,1,1
verify_sr25519,291,28,1,1
verify_sr25519,292,30,1,1
verify_sr25519,293,28,1,1
verify_sr25519,294,29,1,1
verify_sr25519,295,28,1,1
verify_sr25519,296,28,1,1
verify_sr25519,297,28,1,1
verify_sr25519,298,31,1,1
verify_sr25519,299,29,1,1
verify_sr25519,300,29,1,1
verify_sr25519,301,29,1,1
verify_sr25519,302,30,1,1
verify_sr25519,303,29,1,1
verify_sr25519,304,28,1,1
verify_sr25519,305,28,1,1
verify_sr25519,306,29,1,1
verify_sr25519,307,31,1,1
verify_sr25519,308,29,1,1
verify_sr25519,309,28,1,1
verify_sr25519,310,29,1,1
verify_sr25519,311,29,1,1
verify_sr25519,312,30,1,1
verify_sr25519,313,29,1,1
verify_sr25519,314,29,1,1
verify_sr25519,315,28,1,1
verify_sr25519,316,30,1,1
verify_sr25519,317,32,1,1
verify_sr25519,318,30,1,1
verify_sr25519,319,28,1,1
verify_sr25519,320,29,1,1
verify_sr25519,321,27,1,1
verify_sr25519,322,30,1,1
verify_sr25519,323,28,1,1
verify_sr25519,324,29,1,1
verify_sr25519,325,28,1,1
verify_sr25519,326,28,1,1
verify_sr25519,327,29,1,1
verify_sr25519,328,29,1,1
verify_sr25519,329,29,1,1
verify_sr25519,330,28,1,1
verify_sr25519,331,29,1,1
verify_sr25519,332,29,1,1
verify_sr25519,333,31,1,1
verify_sr25519,334,29,1,1
verify_sr25519,335,28,1,1
verify_sr25519,336,29,1,1
verify_sr25519,337,29,1,1
verify_sr25519,338,33,1,1
verify_sr25519,339,30,1,1
verify_sr25519,340,28,1,1
verify_sr25519,341,29,1,1
verify_sr25519,342,29,1,1
verify_sr25519,343,28,1,1
verify_sr25519,344,29,1,1
verify_sr25519,345,29,1,1
verify_sr25519,346,28,1,1
verify_sr25519,347,34,1,1
verify_sr25519,348,29,1,1
verify_sr25519,349,29,1,1
verify_sr25519,350,29,1,1
verify_sr25519,351,34,1,1
verify_sr25519,352,28,1,1
verify_sr25519,353,28,1,1
verify_sr25519,354,29,1,1
verify_sr25519,355,28,1,1
verify_sr25519,356,29,1,1
verify_sr25519,357,29,1,1
verify_sr25519,358,29,1,1
verify_sr25519,359,28,1,1
verify_sr25519,360,29,1,1
verify_sr25519,361,29,1,1
verify_sr25519,362,29,1,1
verify_sr25519,363,28,1,1
verify_sr25519,364,62,1,1
verify_sr25519,365,28,1,1
verify_sr25519,366,28,1,1
verify_sr25519,367,29,1,1
verify_sr25519,368,29,1,1
verify_sr25519,369,30,1,1
verify_sr25519,370,29,1,1
verify_sr25519,371,29,1,1
verify_sr25519,372,29,1,1
verify_sr25519,373,28,1,1
verify_sr25519,374,29,1,1
verify_sr25519,375,29,1,1
verify_sr25519,376,28,1,1
verify_sr25519,377,28,1,1
verify_sr25519,378,31,1,1
verify_sr25519,379,29,1,1
verify_sr25519,380,30,1,1
verify_sr25519,381,28,1,1
verify_sr25519,382,29,1,1
verify_sr25519,383,28,1,1
verify_sr25519,384,29,1,1
verify_sr25519,385,28,1,1
verify_sr25519,386,29,1,1
verify_sr25519,387,28,1,1
verify_sr25519,388,30,1,1
verify_sr25519,389,28,1,1
verify_sr25519,390,30,1,1
verify_sr25519,391,28,1,1
verify_sr25519,392,28,1,1
verify_sr25519,393,34,1,1
verify_sr25519,394,28,1,1
verify_sr25519,395,32,1,1
verify_sr25519,396,28,1,1
verify_sr25519,397,29,1,1
verify_sr25519,398,28,1,1
verify_sr25519,399,29,1,1
verify_sr25519,400,29,1,1
verify_sr25519,401,30,1,1
verify_sr25519,402,28,1,1
verify_sr25519,403,28,1,1
verify_sr25519,404,28,1,1
verify_sr25519,405,29,1,1
verify_sr25519,406,28,1,1
verify_sr25519,407,29,1,1
verify_sr25519,408,37,1,1
verify_sr25519,409,29,1,1
verify_sr25519,410,30,1,1
verify_sr25519,411,28,1,1
verify_sr25519,412,29,1,1
verify_sr25519,413,29,1,1
verify_sr25519,414,28,1,1
verify_sr25519,415,28,1,1
verify_sr25519,416,32,1,1
verify_sr25519,417,31,1,1
verify_sr25519,418,28,1,1
verify_sr25519,419,30,1,1
verify_sr25519,420,28,1,1
verify_sr25519,421,31,1,1
verify_sr25519,422,29,1,1
verify_sr25519,423,29,1,1
verify_sr25519,424,29,1,1
verify_sr25519,425,30,1,1
verify_sr25519,426,28,1,1
verify_sr25519,427,30,1,1
verify_sr25519,428,29,1,1
verify_sr25519,429,29,1,1
verify_sr25519,430,31,1,1
verify_sr25519,431,28,1,1
verify_sr25519,432,28,1,1
verify_sr25519,433,28,1,1
verify_sr25519,434,32,1,1
verify_sr25519,435,29,1,1
verify_sr25519,436,31,1,1
verify_sr25519,437,29,1,1
verify_sr25519,438,32,1,1
verify_sr25519,439,29,1,1
verify_sr25519,440,28,1,1
verify_sr25519,441,30,1,1
verify_sr25519,442,28,1,1
verify_sr25519,443,30,1,1
verify_sr25519,444,30,1,1
verify_sr25519,445,31,1,1
verify_sr25519,446,36,1,1
verify_sr25519,447,30,1,1
verify_sr25519,448,31,1,1
verify_sr25519,449,30,1,1
verify_sr25519,450,33,1,1
verify_sr25519,451,31,1,1
verify_sr25519,452,30,1,1
verify_sr25519,453,33,1,1
verify_sr25519,454,29,1,1
verify_sr25519,455,29,1,1
verify_sr25519,456,28,1,1
verify_sr25519,457,30,1,1
verify_sr25519,458,31,1,1
verify_sr25519,459,31,1,1
verify_sr25519,460,29,1,1
verify_sr25519,461,29,1,1
verify_sr25519,462,31,1,1
verify_sr25519,463,29,1,1
verify_sr25519,464,29,1,1
verify_sr25519,465,30,1,1
verify_sr25519,466,28,1,1
verify_sr25519,467,28,1,1
verify_sr25519,468,28,1,1
verify_sr25519,469,32,1,1
verify_sr25519,470,29,1,1
verify_sr25519,471,28,1,1
verify_sr25519,472,28,1,1
verify_sr25519,473,28,1,1
verify_sr25519,474,28,1,1
verify_sr25519,475,32,1,1
verify_sr25519,476,31,1,1
verify_sr25519,477,29,1,1
verify_sr25519,478,29,1,1
verify_sr25519,479,28,1,1
verify_sr25519,480,29,1,1
verify_sr25519,481,29,1,1
verify_sr25519,482,31,1,1
verify_sr25519,483,28,1,1
verify_sr25519,484,30,1,1
verify_sr25519,485,28,1,1
verify_sr25519,486,30,1,1
verify_sr25519,487,28,1,1
verify_sr25519,488,29,1,1
verify_sr25519,489,32,1,1
verify_sr25519,490,29,1,1
verify_sr25519,491,29,1,1
verify_sr25519,492,30,1,1
verify_sr25519,493,28,1,1
verify_sr25519,494,30,1,1
verify_sr25519,495,30,1,1
verify_sr25519,496,28,1,1
verify_sr25519,497,29,1,1
verify_sr25519,498,29,1,1
verify_sr25519,499,29,1,1
verify_sr25519,500,28,1,1
